game_date,batter,pa,strikeouts,walks,xwoba_num,xwoba_denom,bbe,barrels
2023-03-30,677551,4,0,0,2.834282051282051,4.0,4,1
2023-03-30,677594,4,1,0,1.17416,4.0,3,1
2023-03-30,677951,4,1,2,1.5218060000000002,4.0,1,0
2023-03-30,678225,4,0,1,2.088903,4.0,3,0
2023-03-30,678246,4,1,2,1.397806,4.0,1,0
2023-03-30,678662,5,2,0,0.659,5.0,3,0
2023-03-30,679529,4,0,0,0.873,4.0,4,0
2023-03-30,680757,4,1,0,0.094,4.0,3,0
2023-03-30,680977,6,0,0,2.5668421052631576,6.0,6,2
2023-03-30,681082,4,2,0,0.21,4.0,2,0
2023-03-30,681351,3,0,0,1.286,3.0,3,0
2023-03-30,681546,4,1,1,3.005920857142858,4.0,2,1
2023-03-30,681584,1,0,0,0.023,1.0,1,0
2023-03-30,682928,4,1,0,0.5987,4.0,3,0
2023-03-30,682985,4,0,1,1.8755090606060607,4.0,3,1
2023-03-30,682998,3,0,0,0.875,3.0,3,0
2023-03-30,683002,5,2,2,2.49549987755102,5.0,1,1
2023-03-30,683011,3,1,1,0.7509030000000001,3.0,1,0
2023-03-30,683734,5,2,0,1.565005,5.0,2,0
2023-03-30,686469,4,1,1,0.817903,4.0,2,0
2023-03-30,686681,4,2,0,0.192,4.0,2,0
2023-03-30,686823,3,1,0,0.778,3.0,2,0
2023-03-30,691023,5,1,0,1.0170000000000001,5.0,4,0
2023-03-30,693049,2,0,0,0.8089999999999999,2.0,2,0
2023-03-30,807799,5,0,0,1.948005,5.0,4,0
2023-03-31,443558,4,1,0,0.153,4.0,3,0
2023-03-31,444482,4,0,1,2.4394744285714287,4.0,3,0
2023-03-31,446334,1,0,0,0.793,1.0,1,0
2023-03-31,453568,5,1,0,2.131081923076924,5.0,3,1
2023-03-31,455117,4,0,1,0.7529030000000001,4.0,3,0
2023-03-31,462101,4,0,0,0.53,4.0,4,0
2023-03-31,493329,3,0,0,1.007,3.0,3,0
2023-03-31,500743,4,2,0,1.0125,4.0,2,0
2023-03-31,500871,3,1,0,0.252,3.0,2,0
2023-03-31,502054,2,0,0,1.2381739130434783,2.0,2,1
2023-03-31,502110,4,3,0,0.022,4.0,1,0
2023-03-31,516416,4,2,0,0.5449999999999999,4.0,2,0
2023-03-31,516782,4,0,0,2.173,4.0,4,0
2023-03-31,518692,5,1,0,0.6990000000000001,5.0,4,0
2023-03-31,518735,4,2,0,0.883,4.0,2,0
2023-03-31,541645,4,1,0,1.1914210526315787,4.0,3,1
2023-03-31,542932,3,1,0,0.86,3.0,2,0
2023-03-31,543068,4,1,2,2.204806,4.0,1,0
2023-03-31,543592,3,0,0,0.289,3.0,3,0
2023-03-31,543939,5,1,1,1.566903,5.0,3,0
2023-03-31,547989,4,0,1,2.318903,4.0,3,0
2023-03-31,553869,4,2,0,0.094,4.0,2,0
2023-03-31,553993,4,0,0,0.792,4.0,4,0
2023-03-31,571970,5,0,0,2.4335,5.0,5,2
2023-03-31,572233,4,1,0,0.403,4.0,3,0
2023-03-31,572287,5,0,2,2.7052605454545455,5.0,3,0
2023-03-31,572761,1,1,0,0.0,1.0,0,0
2023-03-31,592178,5,1,1,1.746903,5.0,3,0
2023-03-31,592192,4,2,1,0.697903,4.0,1,0
2023-03-31,592518,4,0,0,0.6807999999999998,4.0,4,0
2023-03-31,593428,4,1,0,1.108,4.0,3,0
2023-03-31,596019,4,2,2,1.391806,4.0,0,0
2023-03-31,596129,1,0,0,0.088,1.0,1,0
2023-03-31,602074,5,0,0,2.232,5.0,5,0
2023-03-31,605113,2,0,0,0.507,2.0,2,0
2023-03-31,605137,5,1,2,1.893806,5.0,2,0
2023-03-31,605141,5,1,2,2.745846,5.0,2,1
2023-03-31,605612,4,0,0,0.6629999999999999,4.0,4,0
2023-03-31,606192,4,3,0,0.159,4.0,1,0
2023-03-31,606466,4,0,0,0.983,4.0,4,0
2023-03-31,607043,4,0,1,1.2219030000000002,4.0,3,0
2023-03-31,608070,6,0,1,1.5469030000000001,6.0,5,0
2023-03-31,608324,4,0,1,2.178117285714286,4.0,3,0
2023-03-31,621512,2,2,0,0.0,2.0,0,0
2023-03-31,624413,4,0,0,3.1743150782361313,4.0,4,2
2023-03-31,624585,4,0,0,3.285938461538461,4.0,4,1
2023-03-31,630105,4,1,0,0.521,4.0,3,0
2023-03-31,640492,3,0,0,0.287,2.0,3,0
2023-03-31,641313,5,1,1,1.918903,5.0,3,0
2023-03-31,641487,4,2,1,0.7259030000000001,4.0,1,0
2023-03-31,641645,1,0,0,0.174,1.0,1,0
2023-03-31,641786,1,0,0,0.8519999999999999,1.0,1,1
2023-03-31,641857,4,0,0,2.0763,4.0,4,1
2023-03-31,642708,6,0,0,1.3556428571428571,6.0,6,0
2023-03-31,643217,5,0,0,1.0310000000000001,5.0,5,0
2023-03-31,643265,4,0,0,0.81,4.0,4,0
2023-03-31,643446,4,1,0,0.23299999999999998,4.0,3,0
2023-03-31,647304,5,2,0,1.645,5.0,3,0
2023-03-31,650333,4,0,1,1.333903,4.0,3,0
2023-03-31,650391,4,1,0,1.826,4.0,3,1
2023-03-31,657757,4,2,0,0.14300000000000002,4.0,2,0
2023-03-31,660162,4,0,0,1.7634594594594595,3.0,3,1
2023-03-31,660707,4,2,0,0.512,4.0,2,0
2023-03-31,660757,5,0,0,2.27,5.0,5,0
2023-03-31,663656,4,1,1,2.9839029999999998,4.0,2,1
2023-03-31,663728,4,0,0,1.275,4.0,4,1
2023-03-31,663743,3,0,0,0.30900000000000005,3.0,3,0
2023-03-31,663757,3,0,1,0.8439030000000001,3.0,2,0
2023-03-31,664034,4,0,1,1.307903,4.0,3,0
2023-03-31,664702,5,0,1,2.064903,5.0,4,0
2023-03-31,664983,4,1,0,1.315,4.0,3,0
2023-03-31,665161,4,1,0,1.382005,4.0,2,0
2023-03-31,665742,4,1,1,0.9849030000000001,4.0,2,0
